Company name;Org. no;Closure year;Currency;Num. of employees, stock company (pcs);EBITDA (k);Working capital (k);Distributable earnings (k);Turnover change (%);Changes in staff (%);Return on equity (%);Return on total assets (%);Liability interest (%);Risk buffer total assets (k);Return on Captial Employed (RoCE) (%)
H.P. THERKELSEN A/S;42140015;201906;DKK;100;24 723;11 826;49 495;0;0;11,47;6,2;1,31;0;16,61
Uppåkra Mekaniska Aktiebolag;5563397131;201912;SEK;205;24 195;49 446;25 453;-8,58;-5,53;12,6;6,9;2,4;4,5;24,43
Hestra Inredningar Aktiebolag;5562229962;201912;SEK;151;37 089;93 569;151 433;9,69;-0,66;19,6;13,4;2,5;10,9;20,76
PHARMA NORD ApS;67303016;201912;DKK;100;64 631;158 032;153 466;1,57;0;15,14;12,73;0,32;0;18,73
Press Kogyo Sweden AB;5560769175;201912;SEK;137;26 842;61 237;59 899;-6,43;-8,05;5,9;3,6;0,7;3;5,91
LACTOSAN A/S;78878711;201912;DKK;100;82 337;83 518;250 832;4,5;0;24,58;18,08;0,21;0;19,13
Gudruns AB;5566604624;201912;SEK;143;-909;19 586;8 863;0,93;-0,69;-63,3;-6,3;0,8;-7;-73,49
CANON DANMARK A/S;56193316;201912;DKK;200;10 178;69 600;71 039;-8,21;0;3,32;1,85;0,83;0;3,48
SYNLAB Analytics & Services Sweden AB;5561520916;201912;SEK;327;61 778;117 442;113 055;12,25;15,55;46,5;27,7;0,4;27,3;38,84
TPPG The Perimeter Protection Group AB;5567593032;201812;SEK;229;3 292;-37 779;-363 215;6,06;-0,43;-52,6;-0,6;5,4;-6;-1,17
KNOWIT OBJECTNET AS;980713520;201912;NOK;156;49 087;51 977;124 126;21,78;-0,64;89,28;27,88;34,31;27,86;81,26
C.C. JENSEN A/S;34044511;201912;DKK;200;29 287;103 494;170 831;2,93;0;8,31;6,04;0,48;0;8,37
DOOSAN INFRACORE NORWAY AS;985499209;201912;NOK;120;13 453;32 801;16 938;6,91;757,14;0,88;3,95;47,7;-2,75;7,63
Aleris Psykiatri AB;5565961587;201912;SEK;414;5 677;-4 598;56;25,96;56,23;174,3;2,7;0;2,6;204,89
OTTO OLSEN AS;980350665;201912;NOK;130;23 799;238 497;65 994;18,54;21,5;11,16;8,85;78,26;8,57;11,31
Digital Route AB;5565227559;201912;SEK;193;67 764;-16 256;35 810;17,69;4,89;35,9;10,5;1,1;9,4;24,91
DR1 Holding AB;5567470413;201912;SEK;193;59 266;-17 347;-229 487;17,69;-15,35;13,7;4;0,9;3;15,58
Interspiro Aktiebolag;5565693792;201908;SEK;218;16 874;78 254;20 220;15,34;5,31;3,9;2,5;2,2;0,3;10,69
DORMAKABA NORGE AS;929633504;201906;NOK;187;-44 664;77 517;-102 266;-6,64;0;-40,25;-18,35;7,04;-20,14;-260,53
Cimbria Holding AB;5560557182;201912;SEK;166;33 291;161 839;141 240;14,42;-4,05;20,6;11,6;1,8;9,9;17,66
MULTICUT A/S;27513204;201909;DKK;100;8 289;-61 767;60 789;10,35;0;1,15;2,61;4,05;0;3,34
Torsåsen Fågelprodukter AB;5565302022;201904;SEK;146;10 169;32 418;61 464;2,89;-3,31;-3,9;-1,5;0,5;-2;-2,5
DANSK INGENIØRSERVICE A/S;21167584;201906;DKK;200;43 614;62 545;48 845;0;0;62,77;25,17;1,93;0;51,36
Erik Tiberg Gruppen AB;5590124078;201904;SEK;120;45 485;5 788;152 537;16,09;15,38;24;10,5;1,3;9,2;14,26
Bakels Sweden AB;5560421363;201912;SEK;120;12 611;73 686;38 449;0,36;-4,76;-5,9;2;4,6;-2,6;7,72
Nordvästra Skånes Renhållnings Aktiebolag (NSR);5562174580;201912;SEK;167;37 612;21 245;68 381;0,86;7,05;0;0,5;0,8;-0,3;-7,77
Holtab AB;5561810911;201912;SEK;161;-162;50 408;59 392;-11,2;9,52;-4,1;-0,9;2,4;-3,3;-2,19
Nokitej Holding AB;5568124191;201912;SEK;113;28 770;-119 453;122 065;0,24;-3,42;-140,8;-41,2;5,9;-47,1;-69,64
GISAB Gällivare Industriservice AB;5564489275;201912;SEK;124;15 839;59 692;64 094;55,93;20,39;19,1;10,8;0,3;10,5;21,7
ATRIA DANMARK A/S;12483589;201912;DKK;100;32 821;-23 790;26 429;-7,27;0;13,48;7,18;1,35;0;19,11
Holtab Förvaltning AB;5590895586;201912;SEK;161;2 766;46 506;99 418;-11,2;9,52;-2,3;-0,2;2,4;-2,6;-0,25
Branäs Gruppen AB;5566942107;201908;SEK;271;66 002;-125 219;204 269;-3,9;9,27;7,4;4;2,1;1,9;4,54
Interoc Akustik AB;5568526080;201912;SEK;249;-5 895;18 063;18 948;-5,18;1,63;-70,7;-7,8;1,6;-9,4;-15,7
Zacco Sweden AB;5566648480;201912;SEK;137;6 452;17 967;24 592;14,53;5,38;11,3;5,8;4,5;1,2;30,19
SODEXO A/S;34693919;201908;DKK;200;23 039;53 076;52 980;15,59;0;39,6;15,97;1,53;0;40,5
Nordic Water Products AB;5563998540;201912;SEK;125;15 888;116 283;81 073;-13,25;9,65;11,2;4,9;1,4;3,5;9,5
CARLETTI A/S;89563518;201912;DKK;100;39 862;-27 950;121 550;2,07;0;10,66;5,96;0,84;0;9,29
Emballator Lagan Plast Aktiebolag;5560989625;201912;SEK;133;59 092;17 140;66 848;3,69;-1,48;40,3;20,3;0,9;19,5;56,91
Industrilås i Nässjö Aktiebolag;5561397372;201912;SEK;206;39 254;104 843;63 781;5,13;-3,74;34,3;18,1;3,2;14,9;38,73
Digital Inn AB;5566367644;201812;SEK;116;-18 591;-19 465;19 932;-21,65;7,41;-100,2;-14,2;2,6;-16,8;-43,71
BRUNVOLL VOLDA AS;917225702;201912;NOK;133;24 238;19 474;36 630;32,28;0;66,16;16,71;22,07;14;75,74
Hagmans Nordic AB;5560714890;201912;SEK;117;26 416;62 248;44 819;10,75;-5,65;24,8;10,6;1,1;9,4;23,57
KVIST INDUSTRIES A/S;22629115;201912;DKK;100;20 503;-10 909;34 796;-1,98;0;1,89;2,71;2,58;0;10,52
RANAVERKEN AB;5561632034;201912;SEK;110;47 831;73 755;78 206;24,92;0;37;25,6;0;25,5;58,4
Iver Sverige AB;5565753042;201912;SEK;184;36 509;4 795;90 619;12,59;104,44;-6,2;-3,1;0,1;-3,2;-12
LINDHARDT OG RINGHOF FORLAG A/S;76351910;201912;DKK;200;87 991;-39 213;-38 696;1,27;0;12,05;4,27;2,77;0;17,16
Teknikbyggarna i Linköping AB;5566757000;201908;SEK;100;20 287;30 342;34 416;20,49;16,28;58,2;18,6;0,1;18,5;58,98
EuroLink i Sverige AB;5566990346;201912;SEK;204;11 644;27 198;19 518;12,55;4,62;13;4,5;0,8;3,6;11,71
Norvatek Invest AB;5569827065;201912;SEK;168;38 461;50 988;-24 674;2,35;20,86;3,9;2,6;2,3;0,4;3,83
PRIMA Barn- och Vuxenpsykiatri Stockholm AB;5567408918;201912;SEK;436;16 587;19 929;23 988;21,44;19,78;56,5;14,4;0,1;14,3;56,82
PRIMA Barn- och Vuxenpsykiatri Holding AB;5569758104;201912;SEK;436;16 304;20 606;3 044;21,44;19,78;94,6;14,1;0,6;13,5;54,3
AVL MTC Motortestcenter AB;5565481867;201912;SEK;283;25 227;-38 760;40 680;3,31;7,6;3,3;2,2;1,8;0,4;5,41
Wexiödisk Aktiebolag;5564086832;201908;SEK;187;95 415;87 754;95 174;3,31;1,08;77,7;51;0;51;83,4
Anticimex A/S;923856781;201912;NOK;299;80 678;4 319;116 120;9,08;2,4;37,83;13,48;34,32;13;39,26
Capio Läkarhus AB;5566405592;201812;SEK;286;16 835;46 208;50 703;15,48;38,16;19,9;10,2;0,1;10,1;23,43
Studentlitteratur Aktiebolag;5563356137;201912;SEK;161;54 394;28 690;95 241;2,86;5,23;28,1;12,9;0;12,9;25,64
Holje Holding AB;5566195557;201912;SEK;129;111 269;-14 719;141 387;3,91;7,5;7,8;3,3;2,4;0,8;3,73
Exipos Holding AB;5568029903;201912;SEK;115;39 458;130 718;151 571;10,5;17,35;26,2;11,8;0,7;11,1;23
LPE Sverige AB;5565184925;201912;SEK;110;39 512;79 469;75 035;10,86;-0,9;31,9;19,7;0;19,7;43,7
team.blue Denmark A/S;29412006;201912;DKK;100;164 503;32 441;214 009;22,43;0;76,83;36,56;1,25;0;83,48
JärnKilen AB;5565415493;201912;SEK;126;40 210;82 153;160 755;-2,49;-3,08;-0,1;0,5;1,3;-0,7;0,65
Drillcon Aktiebolag;5563563880;201912;SEK;237;76 223;63 108;72 071;1,66;-4,05;29,1;16,8;2,3;14,5;24,36
ATA Hill & Smith AB;5561226282;201912;SEK;202;-23 894;69 532;112 052;13,74;48,53;-38,4;-16,9;0,5;-17,4;-28,66
Rahmqvist Holding AB;5567245625;201912;SEK;330;-7 434;96 736;175 951;0,2;-7,3;-8,9;-4,6;1,6;-6,1;-6,15
Eric Rahmqvist Aktiebolag;5562733906;201912;SEK;330;-7 393;52 846;179 784;0,2;-7,3;-8,3;-4,5;1,4;-5,9;-7,45
Nya BrandFactory AB;5591311534;201912;SEK;322;-35 603;1 828;-11 545;171,99;0;944;-32,1;44,9;-77;-203,33
NWT Media AB;5561944587;201912;SEK;261;-4 916;-68 570;677;0;0;-659,5;-13,6;0,1;-13,7;-190,42
ACCURA ADVOKATPARTNERSELSKAB;33039018;201912;DKK;100;3 596;52 093;-28 660;8,36;0;-0,15;1,38;5,94;0;9,3
Visma Labs Aktiebolag;5565156196;201912;SEK;187;83 941;51 371;190 170;10,19;8,09;16,4;11,5;0,2;11,3;16,52
Creative Technology Northern Europe AB;5563412930;201912;SEK;196;28 539;-119 134;15 956;-6,12;4,26;-84,6;-8,3;2;-10,3;-143,56
SSG A/S;19440834;201909;DKK;200;49 694;93 391;129 740;0;0;35,26;18,51;1,11;0;37,11
Ambulanssjukvården i Storstockholm Aktiebolag;5564616695;201912;SEK;363;36 753;75 494;59 922;40,14;6,14;30,5;11,6;1,9;9,7;32,5
Lisa Cassels i Nordstan AB;5565125670;201906;SEK;164;35 516;49 553;40 739;0,42;-4,09;41;20,1;0,2;20;56,92
Mattssonföretagen i Uddevalla Aktiebolag;5561078675;201908;SEK;185;3 898;28 568;57 198;-2,43;-5,13;-3,9;-0,7;1,1;-1,7;-1,26
ANDRITZ FEED & BIOFUEL A/S;43854410;201912;DKK;100;-31 911;-47 750;-81 407;2,05;0;-201,57;-9,96;-14,11;0;187,46
HUGO BOSS NORDIC ApS;26596467;201912;DKK;100;32 928;19 483;68 101;-5,47;0;52,01;23,18;1,31;0;53,23
OBI SPORT A/S;26273943;201912;DKK;200;24 944;-31 140;47 865;-12,6;0;-6,81;1,3;4,19;0;6,38
Trelleborg Industri Aktiebolag;5561297267;201912;SEK;185;9 510;68 374;71 151;8,18;-4,15;-1,2;-0,6;0,1;-0,7;-1,15
Timmergården AB;5569628034;201912;SEK;119;27 431;64 487;62 361;-0,84;5,31;10,5;5,1;0,7;4,3;6,21
JOOL Invest AB;5567607964;201912;SEK;143;1 634;37 182;176 321;-8,3;-4,03;-2,5;0,2;3,5;-3,4;2,11
CABINPLANT A/S;76165319;201912;DKK;200;0;67 023;104 226;-0,85;0;21,82;0,79;0,83;0;-
NATURMÆLK A.M.B.A.;17995030;201909;DKK;100;0;-15 871;33 457;0;0;3,66;0;2,49;0;-
TRESU A/S;15302798;201912;DKK;200;-31 856;-25 099;-19 546;14,86;0;-65,44;-13,44;4,25;0;-28,04
Spirit of Performance AB;5590864293;201812;SEK;148;72 250;156 481;401 869;47,96;21,31;-0,6;-0,2;0,1;-0,3;-0,6
Klippan Safety AB;5565487757;201912;SEK;130;6 142;31 844;92 503;-5,84;-2,26;5,5;2,5;0;2,5;6,87
Micropower Sweden AB;5563419091;201812;SEK;143;37 194;72 371;65 965;29,4;19,17;46,9;19,5;0,2;19,3;43,68
Mertz Transport Aktiebolag;5564312931;201912;SEK;300;23 208;9 747;4 723;8,56;3,45;4,3;1,9;1,4;0,5;3,76
BILERNES HUS A/S;28967705;201912;DKK;100;6 812;7 803;8 084;-7,67;0;15,08;5,33;3,36;0;10,9
Snells Entreprenad Aktiebolag;5561438143;201912;SEK;107;52 897;-609;62 721;84,78;101,89;38,2;12,2;1,6;10,5;17,84
Primär Fastighetsförvaltning Aktiebolag;5563105534;201912;SEK;266;1 766;-46 574;7 502;15,37;-1,85;-36,8;-2,2;0,5;-2,8;4,72
KEN HYGIENE SYSTEMS A/S;10676096;201904;DKK;200;7 270;-108 934;106 220;17,74;0;5,11;4,04;0,88;0;5,38
Intertek Semko AB;5560240599;201812;SEK;329;39 779;7 279;69 392;7,1;12,29;38,3;12,9;0;12,8;37,22
GK Rör AB;5563117588;201912;SEK;215;-44 120;-812;8 461;15,72;22,16;-468,4;-24,1;1;-25;-495,34
NMI Group AB;5562931294;201906;SEK;208;163 460;70 402;357 575;0,28;-7,14;30;16,4;2,1;14,3;18,5
DANAPAK FLEXIBLES A/S;61725318;201912;DKK;100;7 778;45 737;-43 817;-2,02;0;0;-3,18;1,28;0;-8,87
CIMON Aktiebolag;5563473924;201912;SEK;236;13 480;98 766;273 625;-18,68;-13,55;14,9;14,1;19,6;-5,5;19
SYSTEM FRUGT A/S;13473498;201912;DKK;100;6 664;65 254;130 527;125,42;0;2,3;2,32;1,02;0;4,34
Getinge Disinfection Aktiebolag;5560423393;201912;SEK;161;-74 634;-121 646;-25 419;-9,98;5,23;-164,4;-25,7;1,4;-27,1;-201,93
Egmont Publishing A/S;83131128;201912;DKK;200;55 187;-16 583;60 918;-2,93;0;24,09;27,42;0,97;0;54,7
Per Jacobsson Byggnads Aktiebolag;5561984898;201912;SEK;104;-4 984;-3 762;-1 533;19,19;-15,45;-151;-4,5;0,6;-5,1;-28,26
IVL Svenska Miljöinstitutet AB;5561162446;201912;SEK;322;28 274;74 077;96 605;8,52;7,33;19,6;8,1;0,1;8;18,92
Cerner Sverige AB;5569852170;201912;SEK;156;52 218;-32 472;108 993;89,81;62,5;13;15,5;19,2;-3,7;26,33
Nordentic Group Holding AB;5590966148;201912;SEK;376;26 854;49 936;97 779;2,17;24,09;-8,6;-2,5;2,5;-5;-2,93
UNISPORT A/S;30800680;201912;DKK;100;3 660;-7 557;3 446;3,63;0;-29,07;-5,18;4,87;0;-33,22
TERRATEC AS;986276092;201912;NOK;242;46 220;134 675;68 858;17,57;4,76;25,38;18,02;53,97;15,58;27,09
Österbergs Industrihandel AB;5560110503;201912;SEK;115;24 459;97 491;106 967;-1,75;-2,54;22,3;13,6;1;12,6;17,5
Sisjö Intressenter AB;5591343396;201904;SEK;117;41 364;15 032;35 387;535,92;30;49,7;10;1,1;8,9;14,7
National Halmstad Performance Polymers AB;5560403502;201904;SEK;181;23 444;89 499;114 341;5,33;4,62;8,4;5,8;0,3;5,5;10,66
Vibracoustic Forsheda AB;5567428767;201912;SEK;169;30 772;102 413;155 653;-11,38;-1,17;14,5;8,9;0;8,9;14,47
Lintex AB;5562951698;201912;SEK;155;128 259;130 335;228 475;15,52;6,9;51,9;41,2;1,4;39,7;52,25
Inrego Holding AB;5566658125;201906;SEK;153;31 476;85 367;114 501;11,47;22,4;24,3;13,4;0,3;13;19,97
DNV GL Denmark A/S;89832314;201912;DKK;100;44 122;68 214;30 809;11,29;0;59,22;25,48;1,45;0;63,17
Bluefish Pharmaceuticals AB (publ);5566739164;201912;SEK;149;47 084;81 540;-344 983;6,34;22,13;-2,1;3,1;6,1;-3;16,95
Somas Instrument Aktiebolag;5562197664;201908;SEK;165;70 885;194 764;312 414;-5,72;3,77;19,9;16,8;0;16,8;19,94
Peab Bostadsproduktion AB;5565546487;201912;SEK;143;-8 695;37 742;4 791;-69,38;-44,79;-183;-4,8;0,3;-5;-175,99
Garpco Aktiebolag;5562454073;201912;SEK;263;25 601;77 240;119 226;-1,65;-4,01;7,2;3,9;1;2,9;5,25
Anicura Stockholms Regiondjursjukhus AB;5566365895;201912;SEK;427;28 404;-81 823;21 452;6,75;16,35;60,6;11,1;0,2;10,9;61,57
Isadora AB;5562237544;201912;SEK;120;90 118;213 404;245 491;-1,43;-4,76;48,6;40,2;0;40,2;34,31
Beans in Cup AB;5590855564;201912;SEK;231;22 952;-70 524;34 671;3,06;8,45;-32,1;-5,7;2,9;-8,7;-6,85
Cinnober Financial Technology Aktiebolag;5565489654;201812;SEK;338;-103 579;11 881;-129 257;1,21;4,97;-64,8;-20,2;1,8;-22;-100,73
Strukton Rail A/S;20286547;201912;DKK;100;0;88 591;-136 800;-22,1;0;-143,74;0,24;2,26;0;-
DAW Nordic AB;5563180495;201912;SEK;147;23 011;89 057;113 345;3,97;2,08;14,3;9,4;0,1;9,3;14,22
Convini Sverige AB;5561673665;201912;SEK;144;15 489;-763;14 609;11,49;2,86;42,6;11,3;0,1;11,2;59,73
EUREKA PUMPS AS;979479875;201812;NOK;126;1 917;-55 265;-57 510;26,11;2,44;-86,41;-1,02;12,85;-12,59;-7,95
PRESSALIT A/S;84364517;201912;DKK;200;36 475;81 369;122 786;2,62;0;11,6;9,95;0,4;0;17,38
Newsec Property Asset Management Denmark A/S;25326296;201912;DKK;200;-9 925;97 833;17 187;8,39;0;3,41;3,57;0;0;13,1
CTT Systems AB;5564307741;201912;SEK;108;6 700;179 600;85 800;12,56;10,2;0;0,5;1,6;-1,5;0,07
Zapp Precision Metals (Sweden) AB;5591465280;201912;SEK;118;16 664;42 410;34 871;26,3;4,42;6,6;2,2;1,5;0,7;5,18
Fredriksons Verkstads Aktiebolag;5564207537;201912;SEK;192;31 485;24 883;68 774;2,26;-1,54;52,1;19,7;0,6;19,1;34,37
BoKlok Byggsystem AB;5567683874;201912;SEK;209;-5 171;-15 348;19 148;-11,57;-17,72;-39,3;-7;0,5;-7,5;-52,94
Matsmart in Scandinavia AB;5569016354;201912;SEK;123;1 199;100 881;0;35,35;16,04;0;0,7;2,3;-2,3;-
Falck Ambulans AB;5562807395;201812;SEK;333;-12 722;39 565;109 010;-37,58;-43,17;-17;-10,7;0;-10,7;-16,96
Mazars AB;5564392099;201908;SEK;194;58 065;77 380;187;6,01;7,78;6 725,9;30;0,5;29,5;416,25
SMPP Holding AB;5569719221;201912;SEK;124;20 714;52 139;23 450;14,68;1,64;10,8;7,2;4;3,3;9,67
OCEANEERING ASSET INTEGRITY AS;965591095;201912;NOK;307;4 059;218 881;-1 120;4,32;0;-0,25;1,62;21,6;-0,62;7,49
Axalta Powder Coating Systems Nordic AB;5560353913;201912;SEK;104;17 142;69 620;78 495;0,93;-2,8;14,9;7,8;0,5;7,3;16,51
Calabrio AB;5565235925;201912;SEK;124;58 803;45 268;49 611;27,91;8,77;117,6;26,9;0,1;26,7;118,06
Vinnergi Holding AB;5591126320;201912;SEK;303;15 215;-12 633;-60 060;87,84;131,3;-31,3;-11,1;2;-13;-13,59
C. Hallströms Verkstäder Aktiebolag;5560735630;201912;SEK;171;48 457;230 416;301 515;3,57;6,88;11,7;9,4;0,2;9,2;11,57
Wave HoldCo AB;5591177745;201912;SEK;190;48 110;-52 136;-6 386;27,18;63,79;-5,4;0,9;4,5;-3,6;1,12
UGGERLY INSTALLATION A/S;15685433;201912;DKK;200;24 962;56 728;66 937;11,47;0;23,39;12,29;1,23;0;28,6
N.P. Nilssons Trävaruaktiebolag;5560489154;201912;SEK;119;12 112;43 510;67 732;-2,86;5,31;9,8;5,7;0,2;5,4;11,4
STB BYG A/S;20090642;201912;DKK;100;3 989;34 523;37 359;-22,42;0;11,86;5,41;2,49;0;7,66
Byggnadsingenjör Nils Skoglund Aktiebolag;5562365568;201912;SEK;138;12 004;47 650;99 704;-2;7,81;8,2;4,8;0,1;4,7;8,3
CALABRIO NORGE NORSK AVDELING AV UTENLANDSK FORETAK;983542204;201912;SEK;124;58 803;45 268;45 339;0;0;117,6;26,88;22,77;26,74;116,14
Mechanum Sverige AB;5567420418;201912;SEK;294;1 036;-24 163;-83 414;12,2;6,52;-63,4;-8,4;3,4;-11,8;-18,7
Boråstapeter AB;5564232824;201912;SEK;107;32 451;117 314;28 009;2,28;-4,46;10,6;5,6;2,2;3,4;8
A/S VESTFROST;37101117;201912;DKK;200;-1 918;56 094;2 473;-24,27;0;-7,92;-4,67;0,7;0;-7,22
AB Dogman;5564939519;201912;SEK;145;28 699;18 362;41 705;6,3;9,02;36,1;12,7;4,6;8,1;49,28
Quant Service Sweden AB;5569817652;201912;SEK;247;20 621;13 816;15 218;6,15;1,23;120,6;15,4;0,1;15,3;120,94
HLL Hyreslandslaget Stockholm AB;5568874753;201912;SEK;109;69 920;1 453;21 894;5,16;26,74;17;4,8;2,8;2;6,49
ATKINS DANMARK A/S;26048494;201912;DKK;200;18 177;78 156;54 941;-9,49;0;11,58;5,18;1,61;0;15,77
Steel Products Aage Østergaard A/S;89626412;201906;DKK;200;0;68 951;61 087;-1,67;0;0;0,77;0,73;0;-
HydraSpecma Component AB;5562192202;201912;SEK;121;13 857;78 988;71 975;3,56;-7,63;9,6;6,3;2,1;4,3;13,44
Bold Printing Stockholm AB;5562468180;201912;SEK;162;-7 857;116 964;89 604;-9,27;-11,48;-16,3;-10,4;2,2;-12,6;-32,48
STORVIK AS;992027576;201912;NOK;113;28 310;51 472;42 218;45,27;0;42,44;20,54;40,03;17,9;46
PHILIPS DANMARK A/S;43253018;201912;DKK;100;22 546;95 285;59 077;-4,15;0;6,63;3,43;1,48;0;8,63
Power International Logistics AB;5568108053;201912;SEK;140;32 668;43 677;37 406;1,26;10,24;12,7;9;4,9;4,1;15,31
JOHS. RASMUSSEN. SVEBØLLE A/S;56990313;201908;DKK;100;61 080;-19 612;170 406;1,48;0;9,07;6,72;0,66;0;11,22
SCHLUMBERGER DANMARK ApS;17371444;201912;DKK;100;9 876;88 007;89 303;2,9;0;7,02;3,55;2,1;0;3,78
Ernsts Express Aktiebolag;5560398231;201912;SEK;158;45 934;22 057;72 448;6,49;4,64;16;5,5;1,6;3,9;7,11
Schur Pack Sweden AB;5562426816;201910;SEK;107;62 076;29 909;134 076;7,42;-1,83;20,6;12,5;1,4;11;18,58
Salénia Aktiebolag;5560516634;201912;SEK;116;-12 308;151 941;270 311;-12,56;17,17;16,2;11,7;0,8;10,9;12,76
Ticket Privatresor Aktiebolag;5562339142;201912;SEK;242;33 822;86 950;73 579;-0,82;-7,28;37,4;8,4;0,2;8,2;41,14
CLL Linden AB;5569157646;201912;SEK;112;64 166;168 325;164 125;8,73;-14,5;35,7;27,3;0;27,3;35,67
Visma e-conomic A/S;29403473;201912;DKK;200;193 830;148 429;1 153;17,67;0;123,75;83,7;0,49;0;126,66
Bravida Säkerhet Aktiebolag;5561931832;201912;SEK;146;34 604;36 876;28 686;18,62;1,39;50,8;8,7;0,2;8,5;115,15
Lagerhaus Aktiebolag;5566628730;201912;SEK;156;-8 611;13 402;22 687;-4,37;-10,34;-76,2;-15,5;0,8;-16,3;-45,35
Tunstall AB;5561351197;201909;SEK;228;63 092;-2 749;58 966;11,19;15,15;61,4;22;0,1;21,9;61,58
LGT Logistics AB;5561230722;201912;SEK;241;-6 449;38 384;34 607;-3,23;1,26;-34,8;-5,3;2,4;-7,7;-19,92
KONICA MINOLTA BUSINESS SOLUTIONS NORWAY AS;964371180;202003;NOK;165;1 773;78 518;-1 334;7,33;-7,3;-1,63;-0,78;47,86;-0,88;-1,63
Nefab Packaging Sweden AB;5561905208;201912;SEK;168;34 141;-10 384;3 831;-3,05;1,82;98,1;14,6;0,5;14,1;185,08
Avanade Sweden AB;5566803895;201908;SEK;133;38 399;191 400;187 618;-4,28;22,02;19,5;14,6;0;14,5;19,46
Signal & Andersson Charkuterifabrik AB;5562253202;201908;SEK;119;8 480;4 008;12 199;-5,79;-2,46;6,7;2,1;0,5;1,6;5,53
Strandbaden Svanshall Intressenter AB;5590203419;201912;SEK;203;-35 328;-23 743;-73 363;-9,97;-11,35;-139,9;-15,1;5,5;-20,6;-24,15
Jeansson Pilotti AB;5566274899;201912;SEK;269;24 563;52 598;92 183;10,92;5,91;36;20;2,2;17,8;34,93
Acast AB (publ);5569468498;201912;SEK;139;-116 009;161 812;-373 210;0;0;-56,3;-33,6;2;-35,6;-51,71
NOTE Torsby AB;5565976114;201912;SEK;154;49 472;22 632;31 302;11,42;11,59;110,7;23,8;1,3;22,6;131,41
Recipharm Uppsala AB;5566955752;201912;SEK;196;6 084;-3 226;41 697;-13,63;4,26;-2,8;-0,6;0;-0,6;-3,12
Stadler Service Sweden AB;5569615262;201912;SEK;143;-17 626;291 776;32 773;73,52;333,33;-134,7;-10,1;0,8;-10,8;-126,07
HL Display Sundsvall Aktiebolag;5561240481;201912;SEK;128;4 506;-125;12 176;-0,49;15,32;0;0,2;0,2;-0,2;0,07
SIF GRUPPEN A/S;46379918;202003;DKK;200;21 325;23 528;37 437;17,07;0;17,68;8,25;2,52;0;34,51
Arvika Gjuteri AB;5567807200;201912;SEK;193;15 402;-28 313;18 461;-10,52;-1,03;10;3,6;1,9;1,7;5,57
BYGG INVEST AS;981175085;201912;NOK;134;55 036;52 128;62 501;11,05;3,88;12,24;10,41;56,43;7,99;14,2
Wiklunds Åkeri Aktiebolag;5560733742;201906;SEK;229;49 242;-3 959;108 754;-2,04;6,51;8,6;3,9;0,8;3,1;6,96
OVERHALLA BETONGBYGG AS;976802756;201912;NOK;177;3 606;-43 004;-12 106;-12,93;18;-10,57;-3,56;13,7;-4,26;-7,27
Valneva Sweden AB;5564597416;201812;SEK;139;22 553;154 661;143 823;10,41;1,46;4,1;2,9;0,3;2,6;4,59
Lundgrens Sverige AB;5560633504;201912;SEK;119;32 221;46 905;41 046;8,65;9,17;37,4;18,3;1,2;17,2;68,31
TZ-shops South Sweden AB;5567530539;201912;SEK;205;21 382;52 411;42 393;-0,99;28,93;15,9;5,8;1,3;4,5;10,13
OLUF BRØNNUM & CO. A/S;34350612;201909;DKK;100;7 399;79 305;88 970;8,22;0;6,79;4,51;0,63;0;6,31
Svenska N´ergy AB;5565918868;201912;SEK;175;48 315;-65 729;81 387;39,33;45,83;4,1;2,5;1,9;0,5;4,87
VINK PLAST ApS;12559976;201912;DKK;100;33 733;78 836;70 739;2,97;0;28,12;17,79;0,72;0;32,92
OK SNACKS A/S;14336796;201912;DKK;100;0;-16 495;100 893;0;0;0;0;1,47;0;-
NABOEN AS;999236022;201912;NOK;103;96 620;-4 953;45 025;8,41;0;8,07;9,55;13,12;6,31;26,25
CREATIV COMPANY A/S;28692927;202004;DKK;100;42 612;29 835;93 398;14,57;0;12,68;9,81;1,15;0;27,13
Apsis Group AB;5568079890;201912;SEK;263;37 747;-94 474;-13 691;-3,42;-8,36;-24,8;-6,7;0,2;-6,9;-22,25
Bolon Aktiebolag;5562024363;201912;SEK;107;44 524;65 340;73 394;1,5;0,94;26,6;17,9;1,4;16,5;43,33
A-Team AB;5566699715;201912;SEK;247;24 406;-25 415;13 441;145,52;91,47;38,4;11,4;0,9;10,5;29,55
Fastighetssnabben Aktiebolag;5561977033;201912;SEK;243;26 635;27 701;22 096;14,34;15,17;74,6;22,9;1,7;21,1;106,88
Scanfil Vellinge AB;5565275269;201912;SEK;142;23 067;30 313;50 166;-4,51;4,41;28,3;10,8;0,4;10,4;33,93
Carspect Group Holding AB;5591597587;201912;SEK;444;71 515;-27 515;255 962;211,83;8,82;-31,6;-4,6;7,8;-12,4;-5,12
ISFJORD NORWAY AS;981647459;201812;NOK;130;13 340;22 398;14 246;-4,2;44,44;15,06;9,46;31,43;5,98;21,59
PLANDENT A/S;77557318;202001;DKK;100;36 595;131 204;138 591;0,98;0;13,97;11,35;0,28;0;15,38
Indexator Rotator Systems AB;5568577927;201912;SEK;127;69 756;114 129;107 809;13,76;1,6;36,2;26,3;0,4;25,9;52,37
